Borough,SubjectGender,SubjectAge,IncidentDate,IncidentTime,CED Fired,Firearms Fired,SubjectEthnicity
Barking and Dagenham,Female,11-17,72,72,0,72,72
Barking and Dagenham,Female,18-34,263,263,5,263,263
Barking and Dagenham,Female,35-49,143,143,4,143,143
Barking and Dagenham,Female,50-64,49,49,1,49,49
Barking and Dagenham,Female,65 and over,5,5,1,5,5
Barking and Dagenham,Male,0-10,2,2,0,2,2
Barking and Dagenham,Male,11-17,444,444,21,444,444
Barking and Dagenham,Male,18-34,1975,1975,117,1975,1975
Barking and Dagenham,Male,35-49,957,957,53,957,957
Barking and Dagenham,Male,50-64,217,217,12,217,217
Barking and Dagenham,Male,65 and over,16,16,1,16,16
Barking and Dagenham,Other,11-17,2,2,0,2,2
Barking and Dagenham,Other,18-34,6,6,0,6,6
Barking and Dagenham,Other,35-49,2,2,1,2,2
Barnet,Female,11-17,66,66,3,66,66
Barnet,Female,18-34,288,288,3,288,288
Barnet,Female,35-49,173,173,6,173,173
Barnet,Female,50-64,76,76,2,76,76
Barnet,Female,65 and over,10,10,0,10,10
Barnet,Male,0-10,5,5,0,5,5
Barnet,Male,11-17,419,419,15,419,419
Barnet,Male,18-34,2075,2075,135,2075,2075
Barnet,Male,35-49,942,942,54,942,942
Barnet,Male,50-64,298,298,18,298,298
Barnet,Male,65 and over,25,25,2,25,25
Barnet,Other,18-34,10,10,0,10,10
Barnet,Other,35-49,3,3,0,3,3
Bexley,Female,11-17,71,71,0,71,71
Bexley,Female,18-34,255,255,5,255,255
Bexley,Female,35-49,155,155,3,155,155
Bexley,Female,50-64,50,50,0,50,50
Bexley,Female,65 and over,3,3,0,3,3
Bexley,Male,0-10,5,5,0,5,5
Bexley,Male,11-17,372,372,25,372,372
Bexley,Male,18-34,1680,1680,106,1680,1680
Bexley,Male,35-49,739,739,44,739,739
Bexley,Male,50-64,196,196,16,196,196
Bexley,Male,65 and over,29,29,3,29,29
Bexley,Other,11-17,3,3,0,3,3
Bexley,Other,18-34,6,6,0,6,6
Bexley,Other,35-49,1,1,0,1,1
Brent,Female,0-10,2,2,0,2,2
Brent,Female,11-17,86,86,3,86,86
Brent,Female,18-34,312,312,6,312,312
Brent,Female,35-49,218,218,4,218,218
Brent,Female,50-64,66,66,0,66,66
Brent,Female,65 and over,10,10,0,10,10
Brent,Male,0-10,2,2,0,2,2
Brent,Male,11-17,414,414,18,414,414
Brent,Male,18-34,3542,3542,181,3542,3542
Brent,Male,35-49,1418,1418,60,1418,1418
Brent,Male,50-64,410,410,19,410,410
Brent,Male,65 and over,32,32,1,32,32
Brent,Other,18-34,9,9,1,9,9
Brent,Other,35-49,1,1,0,1,1
Brent,Other,65 and over,1,1,1,1,1
Bromley,Female,11-17,86,86,1,86,86
Bromley,Female,18-34,293,293,5,293,293
Bromley,Female,35-49,168,168,0,168,168
Bromley,Female,50-64,68,68,2,68,68
Bromley,Female,65 and over,5,5,0,5,5
Bromley,Male,0-10,2,2,0,2,2
Bromley,Male,11-17,381,381,13,381,381
Bromley,Male,18-34,1776,1776,77,1776,1776
Bromley,Male,35-49,785,785,28,785,785
Bromley,Male,50-64,268,268,14,268,268
Bromley,Male,65 and over,34,34,2,34,34
Bromley,Other,18-34,9,9,1,9,9
Bromley,Other,35-49,3,3,0,3,3
Camden,Female,11-17,75,75,0,75,75
Camden,Female,18-34,290,290,1,290,290
Camden,Female,35-49,186,186,5,186,186
Camden,Female,50-64,55,55,4,55,55
Camden,Female,65 and over,5,5,0,5,5
Camden,Male,0-10,4,4,0,4,4
Camden,Male,11-17,474,474,19,474,474
Camden,Male,18-34,2471,2471,136,2471,2471
Camden,Male,35-49,1116,1116,45,1116,1116
Camden,Male,50-64,309,309,13,309,309
Camden,Male,65 and over,33,33,1,33,33
Camden,Other,11-17,2,2,0,2,2
Camden,Other,18-34,14,14,0,14,14
City of Westminster,Female,11-17,113,113,1,113,113
City of Westminster,Female,18-34,705,705,9,705,705
City of Westminster,Female,35-49,364,364,6,364,364
City of Westminster,Female,50-64,139,139,0,139,139
City of Westminster,Female,65 and over,27,27,1,27,27
City of Westminster,Male,11-17,747,747,25,747,747
City of Westminster,Male,18-34,6346,6346,196,6346,6346
City of Westminster,Male,35-49,2376,2376,78,2376,2376
City of Westminster,Male,50-64,677,677,26,677,677
City of Westminster,Male,65 and over,60,60,3,60,60
City of Westminster,Other,11-17,2,2,0,2,2
City of Westminster,Other,18-34,57,57,0,57,57
City of Westminster,Other,35-49,11,11,0,11,11
City of Westminster,Other,50-64,1,1,0,1,1
City of Westminster,Other,65 and over,1,1,0,1,1
Croydon,Female,0-10,1,1,0,1,1
Croydon,Female,11-17,149,149,4,149,149
Croydon,Female,18-34,501,501,9,501,501
Croydon,Female,35-49,270,270,6,270,270
Croydon,Female,50-64,105,105,2,105,105
Croydon,Female,65 and over,4,4,0,4,4
Croydon,Male,0-10,3,3,0,3,3
Croydon,Male,11-17,778,778,69,778,778
Croydon,Male,18-34,3800,3800,261,3800,3800
Croydon,Male,35-49,1407,1407,96,1407,1407
Croydon,Male,50-64,384,384,24,384,384
Croydon,Male,65 and over,33,33,0,33,33
Croydon,Other,11-17,3,3,0,3,3
Croydon,Other,18-34,30,30,1,30,30
Croydon,Other,35-49,4,4,1,4,4
Croydon,Other,50-64,3,3,0,3,3
Ealing,Female,11-17,41,41,2,41,41
Ealing,Female,18-34,239,239,6,239,239
Ealing,Female,35-49,196,196,4,196,196
Ealing,Female,50-64,65,65,1,65,65
Ealing,Female,65 and over,17,17,0,17,17
Ealing,Male,0-10,1,1,0,1,1
Ealing,Male,11-17,362,362,12,362,362
Ealing,Male,18-34,2525,2525,106,2525,2525
Ealing,Male,35-49,1258,1258,46,1258,1258
Ealing,Male,50-64,428,428,15,428,428
Ealing,Male,65 and over,22,22,0,22,22
Ealing,Other,11-17,1,1,0,1,1
Ealing,Other,18-34,6,6,1,6,6
Ealing,Other,35-49,2,2,0,2,2
Enfield,Female,0-10,1,1,0,1,1
Enfield,Female,11-17,65,65,1,65,65
Enfield,Female,18-34,254,254,5,254,254
Enfield,Female,35-49,125,125,5,125,125
Enfield,Female,50-64,55,55,4,55,55
Enfield,Female,65 and over,3,3,0,3,3
Enfield,Male,0-10,2,2,0,2,2
Enfield,Male,11-17,381,381,28,381,381
Enfield,Male,18-34,1938,1938,172,1938,1938
Enfield,Male,35-49,754,754,45,754,754
Enfield,Male,50-64,220,220,14,220,220
Enfield,Male,65 and over,20,20,1,20,20
Enfield,Other,11-17,3,3,1,3,3
Enfield,Other,18-34,6,6,0,6,6
Enfield,Other,35-49,3,3,0,3,3
Greenwich,Female,11-17,66,66,1,66,66
Greenwich,Female,18-34,278,278,15,278,278
Greenwich,Female,35-49,193,193,11,193,193
Greenwich,Female,50-64,48,48,1,48,48
Greenwich,Female,65 and over,5,5,1,5,5
Greenwich,Male,0-10,8,8,0,8,8
Greenwich,Male,11-17,541,541,34,541,541
Greenwich,Male,18-34,2299,2299,166,2299,2299
Greenwich,Male,35-49,962,962,66,962,962
Greenwich,Male,50-64,273,273,17,273,273
Greenwich,Male,65 and over,21,21,0,21,21
Greenwich,Other,11-17,3,3,0,3,3
Greenwich,Other,18-34,5,5,1,5,5
Greenwich,Other,35-49,1,1,0,1,1
Hackney,Female,0-10,1,1,0,1,1
Hackney,Female,11-17,57,57,1,57,57
Hackney,Female,18-34,402,402,10,402,402
Hackney,Female,35-49,242,242,12,242,242
Hackney,Female,50-64,97,97,3,97,97
Hackney,Female,65 and over,7,7,0,7,7
Hackney,Male,11-17,797,797,65,797,797
Hackney,Male,18-34,3437,3437,199,3437,3437
Hackney,Male,35-49,1313,1313,55,1313,1313
Hackney,Male,50-64,398,398,10,398,398
Hackney,Male,65 and over,23,23,2,23,23
Hackney,Other,11-17,1,1,0,1,1
Hackney,Other,18-34,16,16,1,16,16
Hackney,Other,35-49,7,7,0,7,7
Hammersmith and Fulham,Female,11-17,48,48,0,48,48
Hammersmith and Fulham,Female,18-34,335,335,9,335,335
Hammersmith and Fulham,Female,35-49,178,178,3,178,178
Hammersmith and Fulham,Female,50-64,77,77,2,77,77
Hammersmith and Fulham,Female,65 and over,13,13,0,13,13
Hammersmith and Fulham,Male,11-17,300,300,11,300,300
Hammersmith and Fulham,Male,18-34,2100,2100,102,2100,2100
Hammersmith and Fulham,Male,35-49,998,998,46,998,998
Hammersmith and Fulham,Male,50-64,326,326,11,326,326
Hammersmith and Fulham,Male,65 and over,36,36,1,36,36
Hammersmith and Fulham,Other,11-17,1,1,0,1,1
Hammersmith and Fulham,Other,18-34,9,9,1,9,9
Hammersmith and Fulham,Other,35-49,4,4,0,4,4
Hammersmith and Fulham,Other,50-64,2,2,0,2,2
Haringey,Female,11-17,66,66,0,66,66
Haringey,Female,18-34,286,286,7,286,286
Haringey,Female,35-49,131,131,2,131,131
Haringey,Female,50-64,42,42,0,42,42
Haringey,Female,65 and over,8,8,0,8,8
Haringey,Male,11-17,388,388,18,388,388
Haringey,Male,18-34,2186,2186,173,2186,2186
Haringey,Male,35-49,957,957,65,957,957
Haringey,Male,50-64,269,269,14,269,269
Haringey,Male,65 and over,18,18,2,18,18
Haringey,Other,11-17,3,3,0,3,3
Haringey,Other,18-34,21,21,1,21,21
Haringey,Other,35-49,6,6,0,6,6
Haringey,Other,50-64,1,1,0,1,1
Harrow,Female,11-17,47,47,1,47,47
Harrow,Female,18-34,151,151,4,151,151
Harrow,Female,35-49,90,90,1,90,90
Harrow,Female,50-64,30,30,0,30,30
Harrow,Female,65 and over,3,3,2,3,3
Harrow,Male,11-17,245,245,11,245,245
Harrow,Male,18-34,1358,1358,62,1358,1358
Harrow,Male,35-49,584,584,25,584,584
Harrow,Male,50-64,148,148,6,148,148
Harrow,Male,65 and over,16,16,0,16,16
Harrow,Other,18-34,8,8,0,8,8
Harrow,Other,35-49,3,3,0,3,3
Havering,Female,0-10,3,3,0,3,3
Havering,Female,11-17,98,98,1,98,98
Havering,Female,18-34,311,311,7,311,311
Havering,Female,35-49,166,166,8,166,166
Havering,Female,50-64,45,45,3,45,45
Havering,Female,65 and over,10,10,2,10,10
Havering,Male,0-10,1,1,0,1,1
Havering,Male,11-17,475,475,12,475,475
Havering,Male,18-34,1651,1651,90,1651,1651
Havering,Male,35-49,814,814,44,814,814
Havering,Male,50-64,207,207,14,207,207
Havering,Male,65 and over,20,20,2,20,20
Havering,Other,11-17,4,4,1,4,4
Havering,Other,18-34,3,3,0,3,3
Heathrow,Female,11-17,9,9,0,9,9
Heathrow,Female,18-34,58,58,0,58,58
Heathrow,Female,35-49,40,40,0,40,40
Heathrow,Female,50-64,11,11,0,11,11
Heathrow,Female,65 and over,2,2,0,2,2
Heathrow,Male,11-17,18,18,0,18,18
Heathrow,Male,18-34,326,326,2,326,326
Heathrow,Male,35-49,160,160,2,160,160
Heathrow,Male,50-64,48,48,4,48,48
Heathrow,Male,65 and over,9,9,0,9,9
Heathrow,Other,18-34,1,1,0,1,1
Heathrow,Other,35-49,2,2,0,2,2
Hillingdon,Female,11-17,48,48,1,48,48
Hillingdon,Female,18-34,238,238,4,238,238
Hillingdon,Female,35-49,152,152,4,152,152
Hillingdon,Female,50-64,53,53,0,53,53
Hillingdon,Female,65 and over,5,5,0,5,5
Hillingdon,Male,11-17,335,335,9,335,335
Hillingdon,Male,18-34,1976,1976,117,1976,1976
Hillingdon,Male,35-49,933,933,44,933,933
Hillingdon,Male,50-64,250,250,8,250,250
Hillingdon,Male,65 and over,25,25,0,25,25
Hillingdon,Other,18-34,7,7,0,7,7
Hillingdon,Other,35-49,4,4,1,4,4
Hillingdon,Other,50-64,2,2,0,2,2
Hounslow,Female,11-17,54,54,0,54,54
Hounslow,Female,18-34,283,283,1,283,283
Hounslow,Female,35-49,143,143,3,143,143
Hounslow,Female,50-64,45,45,1,45,45
Hounslow,Female,65 and over,9,9,0,9,9
Hounslow,Male,0-10,1,1,0,1,1
Hounslow,Male,11-17,351,351,14,351,351
Hounslow,Male,18-34,1954,1954,109,1954,1954
Hounslow,Male,35-49,1016,1016,45,1016,1016
Hounslow,Male,50-64,267,267,11,267,267
Hounslow,Male,65 and over,27,27,0,27,27
Hounslow,Other,11-17,1,1,0,1,1
Hounslow,Other,18-34,2,2,0,2,2
Hounslow,Other,35-49,2,2,0,2,2
Hounslow,Other,65 and over,1,1,0,1,1
Islington,Female,11-17,83,83,0,83,83
Islington,Female,18-34,312,312,6,312,312
Islington,Female,35-49,232,232,8,232,232
Islington,Female,50-64,72,72,0,72,72
Islington,Female,65 and over,9,9,0,9,9
Islington,Male,0-10,6,6,0,6,6
Islington,Male,11-17,474,474,26,474,474
Islington,Male,18-34,2273,2273,146,2273,2273
Islington,Male,35-49,1008,1008,52,1008,1008
Islington,Male,50-64,278,278,12,278,278
Islington,Male,65 and over,14,14,1,14,14
Islington,Other,11-17,2,2,0,2,2
Islington,Other,18-34,14,14,1,14,14
Islington,Other,35-49,3,3,0,3,3
Islington,Other,50-64,2,2,0,2,2
Kensington and Chelsea,Female,11-17,62,62,1,62,62
Kensington and Chelsea,Female,18-34,198,198,4,198,198
Kensington and Chelsea,Female,35-49,114,114,2,114,114
Kensington and Chelsea,Female,50-64,44,44,2,44,44
Kensington and Chelsea,Female,65 and over,8,8,0,8,8
Kensington and Chelsea,Male,11-17,241,241,11,241,241
Kensington and Chelsea,Male,18-34,1498,1498,65,1498,1498
Kensington and Chelsea,Male,35-49,566,566,31,566,566
Kensington and Chelsea,Male,50-64,181,181,13,181,181
Kensington and Chelsea,Male,65 and over,30,30,0,30,30
Kensington and Chelsea,Other,11-17,2,2,0,2,2
Kensington and Chelsea,Other,18-34,15,15,2,15,15
Kensington and Chelsea,Other,35-49,2,2,0,2,2
Kingston upon Thames,Female,11-17,30,30,0,30,30
Kingston upon Thames,Female,18-34,236,236,3,236,236
Kingston upon Thames,Female,35-49,104,104,4,104,104
Kingston upon Thames,Female,50-64,27,27,3,27,27
Kingston upon Thames,Female,65 and over,2,2,0,2,2
Kingston upon Thames,Male,11-17,234,234,15,234,234
Kingston upon Thames,Male,18-34,1083,1083,60,1083,1083
Kingston upon Thames,Male,35-49,480,480,43,480,480
Kingston upon Thames,Male,50-64,162,162,4,162,162
Kingston upon Thames,Male,65 and over,13,13,0,13,13
Kingston upon Thames,Other,11-17,1,1,0,1,1
Kingston upon Thames,Other,18-34,4,4,1,4,4
Kingston upon Thames,Other,35-49,1,1,0,1,1
Lambeth,Female,0-10,2,2,1,2,2
Lambeth,Female,11-17,109,109,6,109,109
Lambeth,Female,18-34,526,526,23,526,526
Lambeth,Female,35-49,302,302,13,302,302
Lambeth,Female,50-64,124,124,4,124,124
Lambeth,Female,65 and over,3,3,1,3,3
Lambeth,Male,11-17,823,823,63,823,823
Lambeth,Male,18-34,4071,4071,350,4071,4071
Lambeth,Male,35-49,1528,1528,124,1528,1528
Lambeth,Male,50-64,524,524,31,524,524
Lambeth,Male,65 and over,53,53,5,53,53
Lambeth,Other,0-10,1,1,0,1,1
Lambeth,Other,11-17,5,5,0,5,5
Lambeth,Other,18-34,20,20,3,20,20
Lambeth,Other,35-49,4,4,0,4,4
Lambeth,Other,50-64,3,3,0,3,3
Lewisham,Female,0-10,2,2,0,2,2
Lewisham,Female,11-17,81,81,2,81,81
Lewisham,Female,18-34,392,392,8,392,392
Lewisham,Female,35-49,274,274,11,274,274
Lewisham,Female,50-64,95,95,3,95,95
Lewisham,Female,65 and over,5,5,0,5,5
Lewisham,Male,0-10,1,1,0,1,1
Lewisham,Male,11-17,532,532,48,532,532
Lewisham,Male,18-34,2902,2902,244,2902,2902
Lewisham,Male,35-49,1337,1337,98,1337,1337
Lewisham,Male,50-64,465,465,24,465,465
Lewisham,Male,65 and over,50,50,8,50,50
Lewisham,Other,11-17,3,3,0,3,3
Lewisham,Other,18-34,6,6,0,6,6
Lewisham,Other,35-49,2,2,0,2,2
Merton,Female,11-17,65,65,2,65,65
Merton,Female,18-34,105,105,6,105,105
Merton,Female,35-49,62,62,1,62,62
Merton,Female,50-64,25,25,0,25,25
Merton,Female,65 and over,2,2,0,2,2
Merton,Male,11-17,186,186,11,186,186
Merton,Male,18-34,817,817,67,817,817
Merton,Male,35-49,335,335,28,335,335
Merton,Male,50-64,88,88,3,88,88
Merton,Male,65 and over,7,7,0,7,7
Merton,Other,11-17,1,1,0,1,1
Merton,Other,18-34,2,2,0,2,2
Merton,Other,35-49,2,2,0,2,2
Merton,Other,50-64,1,1,0,1,1
Newham,Female,0-10,1,1,0,1,1
Newham,Female,11-17,73,73,0,73,73
Newham,Female,18-34,461,461,10,461,461
Newham,Female,35-49,221,221,7,221,221
Newham,Female,50-64,78,78,1,78,78
Newham,Female,65 and over,10,10,0,10,10
Newham,Male,11-17,649,649,38,649,649
Newham,Male,18-34,3586,3586,190,3586,3586
Newham,Male,35-49,1596,1596,67,1596,1596
Newham,Male,50-64,401,401,15,401,401
Newham,Male,65 and over,28,28,1,28,28
Newham,Other,0-10,1,1,0,1,1
Newham,Other,11-17,3,3,0,3,3
Newham,Other,18-34,17,17,0,17,17
Newham,Other,35-49,9,9,1,9,9
Newham,Other,50-64,2,2,0,2,2
Out of force,Female,0-10,1,1,0,1,1
Out of force,Female,11-17,13,13,0,13,13
Out of force,Female,18-34,70,70,4,70,70
Out of force,Female,35-49,34,34,2,34,34
Out of force,Female,50-64,26,26,0,26,26
Out of force,Female,65 and over,5,5,0,5,5
Out of force,Male,11-17,63,63,3,63,63
Out of force,Male,18-34,763,763,66,763,763
Out of force,Male,35-49,304,304,13,304,304
Out of force,Male,50-64,75,75,1,75,75
Out of force,Male,65 and over,5,5,0,5,5
Out of force,Other,11-17,2,2,0,2,2
Out of force,Other,18-34,3,3,0,3,3
Out of force,Other,35-49,1,1,0,1,1
Redbridge,Female,11-17,49,49,0,49,49
Redbridge,Female,18-34,191,191,7,191,191
Redbridge,Female,35-49,125,125,0,125,125
Redbridge,Female,50-64,24,24,1,24,24
Redbridge,Female,65 and over,4,4,0,4,4
Redbridge,Male,0-10,2,2,0,2,2
Redbridge,Male,11-17,299,299,20,299,299
Redbridge,Male,18-34,1870,1870,109,1870,1870
Redbridge,Male,35-49,862,862,39,862,862
Redbridge,Male,50-64,161,161,7,161,161
Redbridge,Male,65 and over,7,7,1,7,7
Redbridge,Other,18-34,5,5,0,5,5
Richmond upon Thames,Female,11-17,26,26,0,26,26
Richmond upon Thames,Female,18-34,90,90,6,90,90
Richmond upon Thames,Female,35-49,49,49,3,49,49
Richmond upon Thames,Female,50-64,24,24,2,24,24
Richmond upon Thames,Female,65 and over,10,10,0,10,10
Richmond upon Thames,Male,0-10,1,1,0,1,1
Richmond upon Thames,Male,11-17,136,136,9,136,136
Richmond upon Thames,Male,18-34,602,602,63,602,602
Richmond upon Thames,Male,35-49,273,273,12,273,273
Richmond upon Thames,Male,50-64,87,87,1,87,87
Richmond upon Thames,Male,65 and over,12,12,0,12,12
Richmond upon Thames,Other,11-17,1,1,0,1,1
Richmond upon Thames,Other,18-34,1,1,0,1,1
Richmond upon Thames,Other,35-49,2,2,0,2,2
Southwark,Female,11-17,84,84,2,84,84
Southwark,Female,18-34,477,477,15,477,477
Southwark,Female,35-49,268,268,7,268,268
Southwark,Female,50-64,86,86,1,86,86
Southwark,Female,65 and over,6,6,0,6,6
Southwark,Male,11-17,920,920,40,920,920
Southwark,Male,18-34,3741,3741,202,3741,3741
Southwark,Male,35-49,1372,1372,64,1372,1372
Southwark,Male,50-64,408,408,18,408,408
Southwark,Male,65 and over,42,42,4,42,42
Southwark,Other,0-10,1,1,0,1,1
Southwark,Other,11-17,3,3,0,3,3
Southwark,Other,18-34,10,10,1,10,10
Southwark,Other,35-49,3,3,0,3,3
Southwark,Other,50-64,1,1,0,1,1
Sutton,Female,11-17,66,66,1,66,66
Sutton,Female,18-34,157,157,8,157,157
Sutton,Female,35-49,91,91,1,91,91
Sutton,Female,50-64,27,27,1,27,27
Sutton,Female,65 and over,1,1,0,1,1
Sutton,Male,0-10,5,5,0,5,5
Sutton,Male,11-17,204,204,12,204,204
Sutton,Male,18-34,886,886,65,886,886
Sutton,Male,35-49,415,415,16,415,415
Sutton,Male,50-64,133,133,8,133,133
Sutton,Male,65 and over,13,13,0,13,13
Sutton,Other,18-34,1,1,0,1,1
Sutton,Other,50-64,2,2,0,2,2
Tower Hamlets,Female,11-17,29,29,0,29,29
Tower Hamlets,Female,18-34,290,290,9,290,290
Tower Hamlets,Female,35-49,212,212,5,212,212
Tower Hamlets,Female,50-64,38,38,0,38,38
Tower Hamlets,Female,65 and over,4,4,0,4,4
Tower Hamlets,Male,0-10,1,1,0,1,1
Tower Hamlets,Male,11-17,597,597,36,597,597
Tower Hamlets,Male,18-34,3633,3633,191,3633,3633
Tower Hamlets,Male,35-49,1301,1301,63,1301,1301
Tower Hamlets,Male,50-64,282,282,10,282,282
Tower Hamlets,Male,65 and over,21,21,1,21,21
Tower Hamlets,Other,18-34,12,12,0,12,12
Tower Hamlets,Other,35-49,7,7,0,7,7
Tower Hamlets,Other,50-64,1,1,0,1,1
Waltham Forest,Female,11-17,57,57,1,57,57
Waltham Forest,Female,18-34,265,265,2,265,265
Waltham Forest,Female,35-49,143,143,6,143,143
Waltham Forest,Female,50-64,27,27,0,27,27
Waltham Forest,Female,65 and over,4,4,0,4,4
Waltham Forest,Male,0-10,4,4,0,4,4
Waltham Forest,Male,11-17,418,418,35,418,418
Waltham Forest,Male,18-34,1794,1794,127,1794,1794
Waltham Forest,Male,35-49,831,831,48,831,831
Waltham Forest,Male,50-64,209,209,9,209,209
Waltham Forest,Male,65 and over,21,21,0,21,21
Waltham Forest,Other,18-34,4,4,1,4,4
Waltham Forest,Other,35-49,1,1,0,1,1
Wandsworth,Female,11-17,70,70,4,70,70
Wandsworth,Female,18-34,266,266,6,266,266
Wandsworth,Female,35-49,133,133,2,133,133
Wandsworth,Female,50-64,61,61,4,61,61
Wandsworth,Female,65 and over,10,10,0,10,10
Wandsworth,Male,11-17,285,285,16,285,285
Wandsworth,Male,18-34,1685,1685,119,1685,1685
Wandsworth,Male,35-49,656,656,38,656,656
Wandsworth,Male,50-64,242,242,14,242,242
Wandsworth,Male,65 and over,16,16,0,16,16
Wandsworth,Other,11-17,1,1,1,1,1
Wandsworth,Other,18-34,10,10,1,10,10
Wandsworth,Other,35-49,2,2,0,2,2
Wandsworth,Other,65 and over,1,1,1,1,1
